userType,email,password
admin,admin@yorku.ca,t4t4
student,student1@gmail.com,t4t4
student,student2@gmail.com,t4t5
faculty,faculty1@gmail.com,t4t6
faculty,faculty2@gmail.com,t4t7
visitor,visitor1@gmail.com,t4t8
visitor,visitor2@gmail.com,t4t9
non-faculty,non-faculty1@gmail.com,t4t10
non-faculty,non-faculty2@gmail.com,t4t11
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
student,student@gmail.com,t4t4
